Longitude,Latitude,Address,Website
-122.358,47.5636,1901 SW Genesee St,http://www.seattleschools.org/schools/pathfinder/welcome.html
-122.27201,47.52374,4800 S Henderson St,http://www.seattleschools.org/schools/southshore/
-122.399261,47.642257,2550 34th Ave W,http://www.seattleschools.org/schools/blaine/
-122.31466,47.713431,11530 12th Ave NE,http://as1web.com/
-122.30524,47.6216,301 21st Ave E  
-122.353983 47.622078 305 Harrison,http://www.centerschoolseattle.org
-122.282669,47.685032,7711 43rd Ave NE,http://www.seattleschools.org/schools/ae2/
-122.27596,47.55478,5215 46th Ave S,http://www.orcapta.org
-122.27092,47.52526,8601 Rainier Ave S,http://www.seattleschools.org/schools/southlake/
-122.290868,47.612237,1121 33rd Ave,http://www.seattleschools.org/schools/madrona/
-122.38051,47.676298,1810 NW 65th St,http://www.salmonbayschool.org/
-122.324177,47.642286,2500 Franklin Ave E,http://www.topsk8.org/
-122.38523,47.578526,2700 California Ave. SW,http://www.seattle.gov/parks/park_detail.asp?ID=456
-122.370211,47.532807,2805 SW Holden St.,http://www.seattle.gov/parks/park_detail.asp?ID=458
-122.283764,47.675545,4103 NE 65th St.,http://www.seattle.gov/parks/park_detail.asp?ID=482
-122.313072,47.672596,5849 15th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=483
-122.282622,47.666633,5201 Sand Point Way NE,http://www.seattle.gov/parks/park_detail.asp?ID=496
-122.299309,47.685267,7700 25th Ave. NE,http://www.seattle.gov/parks/park_detail.asp?ID=499
-122.332557,47.664157,4649 Sunnyside Ave. N,http://www.seattle.gov/parks/park_detail.asp?ID=1104
-122.30084,47.588907,I-90 Lid,http://www.seattle.gov/parks/park_detail.asp?ID=3121
-122.312031,47.570105,4165 16th Ave. S,http://www.seattle.gov/parks/park_detail.asp?ID=114

